name;open;high;low;close;volume;marketCap;timestamp
"2781";91320.3506005685;91404.9502524464;91119.5175724452;91300.7934843228;74342492040.77;1806278176652.32;"2024-11-16T04:00:00.000Z"
"2781";91300.7705658524;91763.9478843873;91195.8293202371;91361.9417100664;73860853269.31;1807369269157.09;"2024-11-16T05:00:00.000Z"
"2781";91329.9094968801;91460.2475531362;91193.8117395744;91216.7924976173;73266888551.97;1804631565510.3;"2024-11-16T06:00:00.000Z"
"2781";91222.0213725674;91437.827570102;91111.3441018998;91147.3783912995;71892941786.24;1803195126384.09;"2024-11-16T07:00:00.000Z"
"2781";91149.411049676;91416.9116945746;91071.2986356946;91373.5910295439;71187600817.73;1807817288377.83;"2024-11-16T08:00:00.000Z"
"2781";91382.9728014069;91430.0722505699;91261.8325947852;91309.7990375995;69383268452.46;1806355804837.29;"2024-11-16T09:00:00.000Z"
"2781";91309.0227308253;91589.8295340459;91250.6134851411;91423.8114475267;68950316934.52;1808698860043.02;"2024-11-16T10:00:00.000Z"
"2781";91427.2902390406;91430.2957128488;90990.0756947873;91178.3295865642;68557876351.07;1803775970581.21;"2024-11-16T11:00:00.000Z"
"2781";91175.1822359197;91297.6515237359;90600.9264107373;90917.5271181346;67330214450.73;1798535029268.37;"2024-11-16T12:00:00.000Z"
"2781";90913.2465561367;91200.7397738117;90726.9774471036;90726.9774471036;65965459008.85;1794395763570.7;"2024-11-16T13:00:00.000Z"
"2781";90703.8982635248;91061.8568385419;90636.9254006096;91005.5050449496;62821319337.44;1800373894546.94;"2024-11-16T14:00:00.000Z"
"2781";91006.0282281972;91020.6032347821;90094.2253690597;90476.5740132169;59966536861.93;1790126474674.05;"2024-11-16T15:00:00.000Z"
"2781";90487.9780390601;90848.8128359562;90258.4215231027;90661.8407841053;57911399171.67;1793566550720.07;"2024-11-16T16:00:00.000Z"
"2781";90662.150546881;91006.2884127193;90537.4597335418;90937.3585414176;56095633445.65;1799019947765.25;"2024-11-16T17:00:00.000Z"
"2781";90934.3061589805;91410.7086862154;90873.7153651659;91336.0750969609;55180489611.82;1806893232501.13;"2024-11-16T18:00:00.000Z"
"2781";91335.2240977245;91350.0446381708;90981.2643681584;91107.31646278;52743253660.35;1802384351852.12;"2024-11-16T19:00:00.000Z"
"2781";91107.1792894617;91188.1315725264;90739.7899641565;90746.8111870262;49372312311.79;1795288093581.08;"2024-11-16T20:00:00.000Z"
"2781";90748.3894660339;91088.2721457731;90746.1888882434;91057.7264983429;46819860318.93;1801423630116.57;"2024-11-16T21:00:00.000Z"
"2781";91058.4693004481;91061.4476892706;90429.4199778608;90511.5155775545;45043378741.99;1790649174571.38;"2024-11-16T22:00:00.000Z"
"2781";90513.7270953826;90670.5247005517;90362.8939369042;90558.4752358199;44333192813.6;1791535825197.71;"2024-11-16T23:00:00.000Z"
"2781";90558.4631117088;90896.6396450632;90549.6699596687;90834.3657205174;43039348668.13;1796995241431.44;"2024-11-17T00:00:00.000Z"
"2781";90839.7103757163;90879.9567256621;90057.3901723965;90237.9887897917;42895339210.25;1785180379083.54;"2024-11-17T01:00:00.000Z"
"2781";90236.8799271958;90321.4076763501;89417.2725977387;90097.2968509606;44574374008.24;1782420137652.47;"2024-11-17T02:00:00.000Z"
"2781";90068.5046180258;90226.7273050774;89836.6127132562;90126.5782810003;0;0;"2024-11-17T03:00:00Z"
